lon,lat,grade
-122.3506375,47.52008638,1
-122.3506375,47.52008638,1
-122.3506375,47.52008638,1
-122.3528518,47.52010132,1
-122.3645521,47.52010861,1
-122.3539922,47.520109,1
-122.3539922,47.520109,1
-122.3618006,47.52011059,1
-122.3551346,47.52011421,1
-122.3551346,47.52011421,1
-122.3564799,47.52011424,1
-122.3564799,47.52011424,1
-122.3564799,47.52011424,1
-122.3564799,47.52011424,1
-122.35513,47.520115,1
-122.2627792,47.52011556,1
-122.2627792,47.52011556,1
-122.2627792,47.52011556,1
-122.3699834,47.52013356,1
-122.3699834,47.52013356,1
-122.26972,47.520145,1
-122.3767923,47.52017448,1
-122.2615851,47.5202622,1
-122.2770398,47.52033635,1
-122.3360281,47.52042665,1
-122.3360281,47.52042665,1
-122.3360281,47.52042665,1
-122.3360281,47.52042665,1
-122.3360281,47.52042665,1
-122.3360281,47.52042665,1
-122.3360281,47.52042665,1
-122.3360281,47.52042665,1
-122.3360281,47.52042665,1
-122.3360281,47.52042665,1
-122.33603,47.520428,1
-122.33603,47.520428,1
-122.324978,47.52047659,1
-122.32498,47.520477,1
-122.2699904,47.52055616,1
-122.274745,47.52061939,1
-122.3578199,47.52067792,1
-122.3578199,47.52067792,1
-122.3658948,47.52101958,1
-122.365221,47.52102254,1
-122.3621943,47.52102591,1
-122.367312,47.52102758,1
-122.3598353,47.521029,1
-122.3578195,47.52102953,1
-122.3578195,47.52102953,1
-122.3551277,47.52102998,1
-122.35846,47.52103,1
-122.3564716,47.52103116,1
-122.3564716,47.52103116,1
-122.3557972,47.52103241,1
-122.3821214,47.52110661,1
-122.358805,47.52141853,1
-122.2713768,47.5216741,1
-122.3591578,47.52180675,1
-122.3591578,47.52180675,1
-122.3306466,47.52188861,1
-122.3306466,47.52188861,1
-122.2687643,47.52189973,1
-122.2687643,47.52189973,1
-122.3645424,47.52193839,1
-122.3539761,47.52194252,1
-122.3605009,47.52194473,1
-122.360504,47.521946,1
-122.3578059,47.521948,1
-122.3578059,47.521948,1
-122.3578059,47.521948,1
-122.3578059,47.521948,1
-122.3578059,47.521948,1
-122.3564596,47.52194987,1
-122.3564596,47.52194987,1
-122.3564596,47.52194987,1
-122.3564596,47.52194987,1
-122.3564596,47.52194987,1
-122.3564596,47.52194987,1
-122.3564596,47.52194987,1
-122.3564596,47.52194987,1
-122.3578,47.52195,1
-122.35646,47.52195,1
-122.3551145,47.52195142,1
-122.3726656,47.52195472,1
-122.37673,47.521965,1
-122.3767307,47.52196556,1
-122.3767307,47.52196556,1
-122.3767307,47.52196556,1
-122.3463887,47.52202143,1
-122.3596266,47.52233423,1
-122.2721272,47.52233851,1
-122.27356,47.522346,1
-122.2735567,47.5223475,1
-122.264496,47.522408,1
-122.264496,47.522408,1
-122.2644964,47.52240866,1
-122.2644964,47.52240866,1
-122.2644964,47.52240866,1
-122.2644964,47.52240866,1
-122.2644964,47.52240866,1
-122.2644964,47.52240866,1
-122.2644964,47.52240866,1
-122.2644964,47.52240866,1
-122.2644964,47.52240866,1
-122.2644964,47.52240866,1
-122.2644964,47.52240866,1
-122.2644964,47.52240866,1
-122.2644964,47.52240866,1
-122.2644964,47.52240866,1
